step_id;pipeline_id;tool;language;step;total_duration;step_duration
1;1;concourse;flask;lint;46;17
2;1;concourse;flask;test;46;9
3;1;concourse;flask;build;46;20
4;2;concourse;flask;lint;45;17
5;2;concourse;flask;test;45;9
6;2;concourse;flask;build;45;23
7;3;concourse;flask;lint;49;14
8;3;concourse;flask;test;49;10
9;3;concourse;flask;build;49;25
10;4;concourse;flask;lint;47;13
11;4;concourse;flask;test;47;9
12;4;concourse;flask;build;47;25
13;5;concourse;flask;lint;45;13
14;5;concourse;flask;test;45;9
15;5;concourse;flask;build;45;23
16;6;concourse;flask;lint;46;13
17;6;concourse;flask;test;46;12
18;6;concourse;flask;build;46;21
19;7;concourse;flask;lint;46;16
20;7;concourse;flask;test;46;9
21;7;concourse;flask;build;46;21
22;8;concourse;flask;lint;48;12
23;8;concourse;flask;test;48;9
24;8;concourse;flask;build;48;27
25;9;concourse;flask;lint;45;13
26;9;concourse;flask;test;45;9
27;9;concourse;flask;build;45;23
28;10;concourse;flask;lint;44;13
29;10;concourse;flask;test;44;10
30;10;concourse;flask;build;44;21
31;11;concourse;vuejs;lint;143;82
32;11;concourse;vuejs;test;143;21
33;11;concourse;vuejs;build;143;29
34;12;concourse;vuejs;lint;146;22
35;12;concourse;vuejs;test;146;86
36;12;concourse;vuejs;build;146;38
37;13;concourse;vuejs;lint;142;21
38;13;concourse;vuejs;test;142;85
39;13;concourse;vuejs;build;142;36
40;14;concourse;vuejs;lint;142;21
41;14;concourse;vuejs;test;142;85
42;14;concourse;vuejs;build;142;36
43;15;concourse;vuejs;lint;139;21
44;15;concourse;vuejs;test;139;85
45;15;concourse;vuejs;build;139;33
46;16;concourse;vuejs;lint;141;82
47;16;concourse;vuejs;test;141;22
48;16;concourse;vuejs;build;141;37
49;17;concourse;vuejs;lint;139;22
50;17;concourse;vuejs;test;139;22
51;17;concourse;vuejs;build;139;95
52;18;concourse;vuejs;lint;138;82
53;18;concourse;vuejs;test;138;21
54;18;concourse;vuejs;build;138;34
55;19;concourse;vuejs;lint;141;82
56;19;concourse;vuejs;test;141;23
57;19;concourse;vuejs;build;141;36
58;20;concourse;vuejs;lint;140;83
59;20;concourse;vuejs;test;140;22
60;20;concourse;vuejs;build;140;35
61;21;concourse;spring-boot;lint;60;13
62;21;concourse;spring-boot;test;60;17
63;21;concourse;spring-boot;build;60;30
64;22;concourse;spring-boot;lint;59;12
65;22;concourse;spring-boot;test;59;19
66;22;concourse;spring-boot;build;59;28
67;23;concourse;spring-boot;lint;60;13
68;23;concourse;spring-boot;test;60;18
69;23;concourse;spring-boot;build;60;29
70;24;concourse;spring-boot;lint;62;13
71;24;concourse;spring-boot;test;62;18
72;24;concourse;spring-boot;build;62;31
73;25;concourse;spring-boot;lint;63;13
74;25;concourse;spring-boot;test;63;20
75;25;concourse;spring-boot;build;63;30
76;26;concourse;spring-boot;lint;60;13
77;26;concourse;spring-boot;test;60;29
78;26;concourse;spring-boot;build;60;28
79;27;concourse;spring-boot;lint;67;16
80;27;concourse;spring-boot;test;67;19
81;27;concourse;spring-boot;build;67;32
82;28;concourse;spring-boot;lint;69;15
83;28;concourse;spring-boot;test;69;27
84;28;concourse;spring-boot;build;69;27
85;29;concourse;spring-boot;lint;68;14
86;29;concourse;spring-boot;test;68;19
87;29;concourse;spring-boot;build;68;35
88;30;concourse;spring-boot;lint;67;14
89;30;concourse;spring-boot;test;67;20
90;30;concourse;spring-boot;build;67;33
91;31;jenkins;flask;lint;60;27
92;31;jenkins;flask;test;60;21
93;31;jenkins;flask;build;60;7
94;32;jenkins;flask;lint;60;27
95;32;jenkins;flask;test;60;21
96;32;jenkins;flask;build;60;7
97;33;jenkins;flask;lint;60;27
98;33;jenkins;flask;test;60;22
99;33;jenkins;flask;build;60;7
100;34;jenkins;flask;lint;63;28
101;34;jenkins;flask;test;63;22
102;34;jenkins;flask;build;63;8
103;35;jenkins;flask;lint;61;28
104;35;jenkins;flask;test;61;21
105;35;jenkins;flask;build;61;7
106;36;jenkins;flask;lint;66;27
107;36;jenkins;flask;test;66;22
108;36;jenkins;flask;build;66;9
109;37;jenkins;flask;lint;63;27
110;37;jenkins;flask;test;63;23
111;37;jenkins;flask;build;63;7
112;38;jenkins;flask;lint;61;27
113;38;jenkins;flask;test;61;21
114;38;jenkins;flask;build;61;8
115;39;jenkins;flask;lint;58;26
116;39;jenkins;flask;test;58;21
117;39;jenkins;flask;build;58;6
118;40;jenkins;flask;lint;60;28
119;40;jenkins;flask;test;60;21
120;40;jenkins;flask;build;60;7
121;41;jenkins;vuejs;lint;75;32
122;41;jenkins;vuejs;test;75;31
123;41;jenkins;vuejs;build;75;7
124;42;jenkins;vuejs;lint;73;31
125;42;jenkins;vuejs;test;73;31
126;42;jenkins;vuejs;build;73;7
127;43;jenkins;vuejs;lint;74;30
128;43;jenkins;vuejs;test;74;30
129;43;jenkins;vuejs;build;74;8
130;44;jenkins;vuejs;lint;70;29
131;44;jenkins;vuejs;test;70;31
132;44;jenkins;vuejs;build;70;7
133;45;jenkins;vuejs;lint;71;28
134;45;jenkins;vuejs;test;71;31
135;45;jenkins;vuejs;build;71;7
136;46;jenkins;vuejs;lint;73;31
137;46;jenkins;vuejs;test;73;30
138;46;jenkins;vuejs;build;73;8
139;47;jenkins;vuejs;lint;71;28
140;47;jenkins;vuejs;test;71;31
141;47;jenkins;vuejs;build;71;7
142;48;jenkins;vuejs;lint;71;28
143;48;jenkins;vuejs;test;71;31
144;48;jenkins;vuejs;build;71;7
145;49;jenkins;vuejs;lint;76;30
146;49;jenkins;vuejs;test;76;31
147;49;jenkins;vuejs;build;76;9
148;50;jenkins;vuejs;lint;72;29
149;50;jenkins;vuejs;test;72;32
150;50;jenkins;vuejs;build;72;7
151;51;jenkins;spring-boot;lint;42;9
152;51;jenkins;spring-boot;test;42;19
153;51;jenkins;spring-boot;build;42;8
154;52;jenkins;spring-boot;lint;40;8
155;52;jenkins;spring-boot;test;40;19
156;52;jenkins;spring-boot;build;40;8
157;53;jenkins;spring-boot;lint;40;9
158;53;jenkins;spring-boot;test;40;19
159;53;jenkins;spring-boot;build;40;7
160;54;jenkins;spring-boot;lint;40;9
161;54;jenkins;spring-boot;test;40;19
162;54;jenkins;spring-boot;build;40;7
163;55;jenkins;spring-boot;lint;40;9
164;55;jenkins;spring-boot;test;40;19
165;55;jenkins;spring-boot;build;40;7
166;56;jenkins;spring-boot;lint;40;8
167;56;jenkins;spring-boot;test;40;19
168;56;jenkins;spring-boot;build;40;8
169;57;jenkins;spring-boot;lint;43;9
170;57;jenkins;spring-boot;test;43;19
171;57;jenkins;spring-boot;build;43;9
172;58;jenkins;spring-boot;lint;38;8
173;58;jenkins;spring-boot;test;38;18
174;58;jenkins;spring-boot;build;38;7
175;59;jenkins;spring-boot;lint;40;9
176;59;jenkins;spring-boot;test;40;19
177;59;jenkins;spring-boot;build;40;7
178;60;jenkins;spring-boot;lint;39;8
179;60;jenkins;spring-boot;test;39;19
180;60;jenkins;spring-boot;build;39;7
